,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
1037,LAF3201,LECTURE 3,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1038,LAF3201,LECTURE 4,9,2,1,1,150,ARTS & SOCIAL SCIENCES,Returning Students [P]
1039,LAF3201,LECTURE 4,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1040,LAF3201,LECTURE 4,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1041,LAF4201,LECTURE 1,13,7,1,1,1934,ARTS & SOCIAL SCIENCES,Returning Students [P]
1042,LAF4201,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1043,LAF4201,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1044,LAG1201,LECTURE 1,4,5,27,887,2100,ARTS & SOCIAL SCIENCES,Returning Students [P]
1045,LAG1201,LECTURE 1,6,4,1,1,20,ARTS & SOCIAL SCIENCES,New Students [P]
1046,LAG1201,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1047,LAG1201,LECTURE 2,3,3,400,1,519,ARTS & SOCIAL SCIENCES,Returning Students [P]
1048,LAG1201,LECTURE 2,6,4,3,1,50,ARTS & SOCIAL SCIENCES,New Students [P]
1049,LAG1201,LECTURE 2,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1050,LAG1201,LECTURE 3,4,1,50,1,50,ARTS & SOCIAL SCIENCES,Returning Students [P]
1051,LAG1201,LECTURE 3,6,4,1,1,10,ARTS & SOCIAL SCIENCES,New Students [P]
1052,LAG1201,LECTURE 3,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1053,LAG1201,LECTURE 4,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1054,LAG1201,LECTURE 4,6,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
1055,LAG1201,LECTURE 4,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1056,LAG1201,LECTURE 5,4,4,50,1,1407,ARTS & SOCIAL SCIENCES,Returning Students [P]
1057,LAG1201,LECTURE 5,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1058,LAG1201,LECTURE 5,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1059,LAG1201,LECTURE 6,4,2,2,1,20,ARTS & SOCIAL SCIENCES,Returning Students [P]
1060,LAG1201,LECTURE 6,5,3,1,1,20,ARTS & SOCIAL SCIENCES,New Students [P]
1061,LAG1201,LECTURE 6,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1062,LAG1201,LECTURE 7,4,2,1,1,435,ARTS & SOCIAL SCIENCES,Returning Students [P]
1063,LAG1201,LECTURE 7,6,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1064,LAG1201,LECTURE 7,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
